text,label
"NASA has confirmed that the Earth is flat and all satellite images are fake.",misinformation
"Drinking bleach can cure COVID-19 within 24 hours.",misinformation
"Vaccines contain microchips used by governments to track people.",misinformation
"The moon landing was filmed entirely in a secret Hollywood studio.",misinformation
"Scientists have proven that humans can survive without water for thirty days.",misinformation
"5G mobile networks directly cause COVID-19 infection.",misinformation
"Eating only garlic completely prevents all forms of cancer.",misinformation
"The government secretly controls the weather using mobile phone towers.",misinformation
"A single herbal drink can permanently cure diabetes overnight.",misinformation
"Climate change is a hoax created to collect more taxes from citizens.",misinformation
"The Earth revolves around the Sun.",not_misinformation
"Regular hand washing helps reduce the spread of many infectious diseases.",not_misinformation
"Vaccines are tested for safety before they are approved for public use.",not_misinformation
"Water freezes at zero degrees Celsius under standard atmospheric pressure.",not_misinformation
"The Moon is Earth's natural satellite.",not_misinformation
"India held its general election in 2024.",not_misinformation
"Exercise can contribute to improved cardiovascular health.",not_misinformation
"Plants use sunlight to produce energy through photosynthesis.",not_misinformation
"The human body requires water to maintain normal biological functions.",not_misinformation
"Smoking is associated with an increased risk of several diseases.",not_misinformation
